id	region	city	name	stored_w	why_blank
134	OK	Oklahoma City	Sen Shin Kan Dojo	senshinkandojo.com	override blanks it
135	OK	Oklahoma City	Yu'ki MMA		stored w is empty string
136	OK	Okmulgee	Prowess Brazilian Jiu-Jitsu	prowessbjj.com	override blanks it
137	OK	Owasso	Clinch Martial Arts Academy - Owasso	teamclinch.com	override blanks it
138	OK	Ponca City	Combat Syndicate		stored w is empty string
139	OK	Poteau	Oklahoma Combat Sports / KORE BJJ	site.oklahomacombatsports.com	override blanks it
140	OK	Pryor	Trinity Martial Arts	trinitypryor.com	override blanks it
141	OK	Seminole	Alexander Jiu-Jitsu	https://alexanderjiujitsu.com	override blanks it
142	OK	Stillwater	Jackson Academy Martial Art Fitness	jacksonacademymartialarts.com	override blanks it
143	OK	Tulsa	Ryan Brazilian Jiu Jitsu		stored w is empty string
144	OK	Tulsa	Tulsa Judo and Jiu Jitsu	tulsajudoclub.com	override blanks it
145	OK	Wilburton	3 Feathers MMA Muay Thai Warriors 4 Christ		stored w is empty string
